
Attractor,Associated Cell Fate,Attractor Type,Basin Ratio,Attractor length,atwozero,aa,ac,andthreefour,apc,arf,arhgaptwo,askone,actin,akt,arptwothree,brcaone,barrestin,bparvin,chkone,ca,cam,camk,camkk,cas,caspthree,caspeight,caspnine,cbp,cdctwozero,cdcfourtwo,cdhone,crk,csk,cyclina,cyclinb,cyclind,cycline,cytochromec,dag,dgk,dockoneeightzero,daxx,ecad,egfr,erk,fadd,fak,fasr,frizzled,fyn,gck,gefhone,grk,gaonetwoonethree,gabone,gai,gaq,gas,gbgonetwoonethree,gbgi,gbgq,gbgs,graf,grbtwo,ikk,ilonetnfr,ilk,ipthree,ipthreerone,ikb,integrins,larg,mkkthree,mkksix,mkkseven,mkps,mlck,mlcp,mlkone,mlktwo,mlkthree,mmp,mek,mekkone,mekktwo,mekkthree,mekkfour,myc,myosin,nfkappab,nik,nck,pa,pak,pdefour,pdkone,pithreek,pifourk,pifivek,piptwothreefour,piptwofourfive,pipthreethreefourfive,pipfour,pka,pkc,pkcprimed,platwo,plcb,plcg,pld,pptwoa,pten,ptponeb,ptppest,ptpa,palphaonetwoonethreer,palphair,palphaqr,palphasr,pixcool,rgs,rkip,rac,raf,rafdep,rafloc,rafrest,ral,ralbpone,ralgds,rapone,ras,rasgrfgrp,rho,rhogdi,rhok,sapk,shptwo,sekone,shc,slug,smac,smadtwo,smadtwofour,snail,sos,src,stathmin,takone,taoonetwo,tgfr,tabonetwo,talin,tiam,tpltwo,trafs,trio,trx,vavtwo,vinc,wasp,xiap,alphaonetwoonethreer,alphair,alphaqr,alphasr,atm,bax,bcltwo,betacatenin,camp,cycg,etwofone,mdmtwo,mdmx,ponefiverhogef,ponetwozerorasgap,ponefourarf,ponefive,poneninezerorhogap,poneninezerorhogef,ptwoone,ptwoseven,pthreeeight,pfivethree,pninezerorsk,rb,wipone,ecm,extpump,egf,fas,wnt,alphaslig,ilonetnf,stress,tgfb,alphaonetwoonethreelig,alphailig,alphaqlig,dnadamage
48,Metastasis + Abnormal Proliferation,Cyclic,0.00391,30,0.466666666666667,0.933333333333333,0,0.0666666666666667,0,1,0.533333333333333,0,0,1,0,0,0,0.933333333333333,0,0,0,0,0,0.0666666666666667,0,0,0,0.466666666666667,0.4,0,0.2,0.0666666666666667,0.2,0.4,0.4,1,0.2,0.6,0.466666666666667,1,0,0,0,1,1,0,0.0666666666666667,0,1,1,0,0.0666666666666667,0,0,0.466666666666667,0,0,0,0,0,0,0,0.0666666666666667,1,0.4,0,0.933333333333333,0.8,0,0.533333333333333,0.0666666666666667,1,0,0,0,0,0.933333333333333,0,0.0666666666666667,0,0.0666666666666667,1,0,1,0.5,0,0.0666666666666667,1,1,0.466666666666667,1,1,1,0.0666666666666667,0,0.9,1,1,1,0.5,1,0.933333333333333,0.5,0,0,1,0.933333333333333,0,0.8,1,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.9,0,0,0.0666666666666667,0,0,0,1,0.0666666666666667,0.0666666666666667,0,0,0.533333333333333,0,0.533333333333333,0,0.533333333333333,0,0.466666666666667,0,0.0666666666666667,1,0,0,0,0.8,0.0666666666666667,0.8,0,0,0,0,0,0.533333333333333,0.766666666666667,0,0,0.0666666666666667,0,1,0.466666666666667,0,1,0,0,0,0,0,0,1,0.8,0,0.2,0.4,0.6,0.6,0.933333333333333,0.2,0,0,0.8,0.0666666666666667,0,0,0,0.2,0.5,1,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0
49,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
50,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.5,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.5,0,0.5,0,0,0,0.75,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,1,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0.5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0.25,0.25,0.25,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
51,Normal Proliferation,Cyclic,0.00391,48,0.375,0.5,0,0,0,1,0.5,0,0,0.75,0,0,0.125,1,0,0.75,0.75,0.5,0.75,0,0,0,0,0.5,0.375,0,0.1875,0,0.416666666666667,0.625,0.375,0.375,0.3125,0.5,0.5,1,0,0,1,0.75,0,0,0,0,1,1,0,1,0.125,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0.75,0.75,0.75,0,0.75,0.3125,0,1,0.75,0.75,0.625,0,1,0,0,0,0,0.75,0,0,0,0,0,0,1,0.5,0,0,0,1,0.375,0.75,0.75,1,0,0.125,0.75,1,1,1,0.5,1,1,0.5,0,0.875,0.5,0.5,0.75,0.5,1,0.25,0,0.25,0,0.875,0.125,0.125,0.125,0.125,1,0.75,0.875,0,0,0.25,1,0.75,0.75,0.75,0,0,0.75,0,0.5,0,0.5,0,0.5,0,0,0.75,0,0,0,0,0.75,0.75,1,0,0,0,0,0.5,1,0,0,0,0,0.75,0.5,0,1,1,1,1,1,0,0,1,0.875,0,0.125,0.375,0.8125,0.25,1,0.25,0,0,0.75,0,0,0.0625,0,0.125,0,0.1875,0.125,1,0,1,0,1,0,0,0,0,0,0,0,0
52,Metastasis,Cyclic,0.00391,30,0.466666666666667,0.933333333333333,0,0.0666666666666667,0,1,0.533333333333333,0,0,1,0,0,0,0.933333333333333,0,0,0,0,0,0.0666666666666667,0,0,0,0.466666666666667,0.4,0,0.2,0.0666666666666667,0.2,0,0.4,1,0.2,0.4,0.466666666666667,1,0,0,0,1,1,0,0.0666666666666667,0,1,1,0,0.0666666666666667,0,0,0.466666666666667,0,0,0,0,0,0,0,0.0666666666666667,1,0.4,0,0.933333333333333,0.8,0,0.533333333333333,0.0666666666666667,1,0,0,0,0,0.933333333333333,0,0.0666666666666667,0,0.0666666666666667,1,0,1,0.5,0,0.0666666666666667,1,1,0.466666666666667,1,1,1,0.0666666666666667,0,0.9,1,1,1,0.5,1,0.933333333333333,0.5,0,0,1,0.933333333333333,0,0.8,1,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.9,0,0,0.0666666666666667,0,0,0,1,0.0666666666666667,0.0666666666666667,0,0,0.533333333333333,0,0.533333333333333,0,0.533333333333333,0,0.466666666666667,0,0.0666666666666667,1,0,0,0,0.8,0.0666666666666667,0.8,0,0,0,0,0,0.533333333333333,0.766666666666667,0,0,0.0666666666666667,0,1,0.466666666666667,0,1,0,0,0,0,0,0,1,0.8,0,0.2,0.2,0.6,0.6,0.933333333333333,0.2,0,0,0.8,0.0666666666666667,0,0,0,0.2,0.5,1,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0
53,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0.75,1,0,0,0,0,0,0,0,0,0,0.25,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0.75,0,0.5,0,0.5,0,0,0,0.75,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0.75,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0,1,1,0.25,0.25,0.25,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
54,Metastasis + Abnormal Proliferation,Cyclic,0.00391,40,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,1,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
55,Metastasis + Abnormal Proliferation,Cyclic,0.00391,120,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.416666666666667,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0.333333333333333,0.5,0,0,0,0.666666666666667,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,1,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
56,Metastasis + Abnormal Proliferation,Cyclic,0.00391,120,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.416666666666667,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0.333333333333333,0.5,0,0,1,0.666666666666667,0,0,1,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,1,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,1,0,0,1,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
57,Normal Proliferation,Cyclic,0.00391,40,0.4,0.55,0,0.1,0,1,0.5,0,0.3,0.7,0.3,0,0.075,0.85,0,0.75,0.75,0.5,0.75,0.1,0,0,0,0.4,0.4,0.35,0.2,0.1,0.35,0.525,0.4,0.55,0.325,0.55,0.5,1,0,0,0.55,0.75,0.3,0,0.15,0,1,1,0,0.6,0.075,0,0.4,0.5,0.4,0,0,0.75,0.7,0,0.1,0.85,0.3,0,0.85,0.85,0.75,0.6,0.15,1,0,0,0,0,0.5,0,0.4,0,0.4,0.975,0.2,1,0.5,0.05,0.4,0.3,1,0.4,0.85,0.85,1,0.35,0.075,0.75,1,1,1,0.5,1,0.85,0.5,0,0.875,0.5,0.55,0.8,0.45,1,0.25,0.15,0.25,0,0.875,0,0.075,0.075,0,0.75,0.6,0.875,0.15,0.275,0.375,0.55,0.65,0.75,0.75,0,0,0.775,0.2,0.5,0,0.5,0,0.4,0,0.1,0.85,0,0,0,0.225,0.5,0.75,0.525,0,0,0,0,0.5,0.85,0,0,0.15,0,0.75,0.5,0.3,1,0,1,1,0,0,0,1,0.85,0,0.15,0.4,0.75,0.3,0.85,0.2,0,0,0.75,0.15,0,0.05,0,0.15,0.15,0.4,0.15,1,0,1,0,1,0,0,0,0,0,0,0,0
58,Metastasis + Abnormal Proliferation,Cyclic,0.00391,40,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,1,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
59,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.5,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.5,0,0.5,0,0,0,0.75,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,1,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0.5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0.25,0.25,0.25,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
60,Metastasis,Cyclic,0.00391,60,0.466666666666667,0.95,0,0.05,0,1,0.5,0,0,1,0,0,0,0.95,0,0,0,0,0,0.05,0,0,0,0.25,0.4,0,0.2,0.05,0.25,0,0.4,1,0.4,0.6,0.5,1,0,0,0,1,1,0,0.05,0,1,1,0,0.05,0,0,0.5,0,0.5,1,0,0,0.75,1,0.05,1,0.4,0,0.95,0.8,0,0.533333333333333,0.05,1,0,0,0,0,0.95,0,0.05,0,0.05,1,0,1,0.5,0,0.05,1,1,0.466666666666667,1,1,1,0.05,0,0.75,1,1,1,0.5,1,0.95,0.5,0,0,1,0.95,0.5,0.75,1,0,0.05,0,0.05,0,0,0,0,0,0.9,0,0,0.05,0,0,0,1,0.05,0.05,0,0,0.55,0,0.5,0,0.5,0,0.5,0,0.05,1,0,0,0,0.8,0.05,0.75,0,0,0,0,0,0.5,0.7,0,0,0.05,0,1,0.5,0,1,0,0,1,0,0,0,1,0.8,0,0.2,0.4,0.6,0.6,0.95,0.25,0,0,0.75,0.05,0,0,0,0.2,0.5,1,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0
61,Normal Proliferation,Cyclic,0.00391,48,0.375,0.5,0,0,0,1,0.5,0,0,0.75,0,0,0.125,1,0,0.75,0.75,0.5,0.75,0,0,0,0,0.5,0.375,0,0.1875,0,0.416666666666667,0.625,0.375,0.375,0.3125,0.5,0.5,1,0,0,1,0.75,0,0,0,0,1,1,0,1,0.125,0.333333333333333,0.5,0.5,0.5,0,0.666666666666667,0.75,0.75,0,0,0.75,0.3125,0,1,0.75,0.75,0.625,0,1,0,0,0,0,0.75,0,0,0,0,0,0,1,0.5,0,0,0,1,0.375,0.75,0.75,1,0,0.125,0.75,1,1,1,0.5,1,1,0.5,0,0.875,0.5,0.5,0.75,0.5,1,0.25,0,0.25,0,0.875,0.125,0.125,0.125,0,1,0.75,0.875,0,0,0.25,1,0.75,0.75,0.75,0,0,0.75,0,0.5,0,0.5,0,0.5,0,0,0.75,0,0,0,0,0.75,0.75,1,0,0,0,0,0.5,1,0,0,0,0,0.75,0.5,0,1,1,1,1,0,0,0,1,0.875,0,0.125,0.375,0.8125,0.25,1,0.25,0,0,0.75,0,0,0.0625,0,0.125,0,0.1875,0.125,1,0,1,0,1,0,0,0,0,0,0,0,0
62,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
63,Metastasis + Abnormal Proliferation,Cyclic,0.00391,40,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,1,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
64,Metastasis + Abnormal Proliferation,Cyclic,0.00391,40,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
65,Metastasis + Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
66,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
67,Metastasis,Cyclic,0.00391,30,0.466666666666667,0.933333333333333,0,0.0666666666666667,0,1,0.533333333333333,0,0,1,0,0,0,0.933333333333333,0,0,0,0,0,0.0666666666666667,0,0,0,0.466666666666667,0.4,0,0.2,0.0666666666666667,0.2,0,0.4,1,0.4,0.6,0.466666666666667,1,0,0,0,1,1,0,0.0666666666666667,0,1,1,0,0.0666666666666667,0,0,0.466666666666667,0,0,1,0,0,0,1,0.0666666666666667,1,0.4,0,0.933333333333333,0.8,0,0.533333333333333,0.0666666666666667,1,0,0,0,0,0.933333333333333,0,0.0666666666666667,0,0.0666666666666667,1,0,1,0.5,0,0.0666666666666667,1,1,0.466666666666667,1,1,1,0.0666666666666667,0,0.9,1,1,1,0.5,1,0.933333333333333,0.5,0,0,1,0.933333333333333,0,0.8,1,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.9,0,0,0.0666666666666667,0,0,0,1,0.0666666666666667,0.0666666666666667,0,0,0.533333333333333,0,0.533333333333333,0,0.533333333333333,0,0.466666666666667,0,0.0666666666666667,1,0,0,0,0.8,0.0666666666666667,0.8,0,0,0,0,0,0.533333333333333,0.766666666666667,0,0,0.0666666666666667,0,1,0.466666666666667,0,1,0,0,0,1,0,0,1,0.8,0,0.2,0.4,0.6,0.6,0.933333333333333,0.2,0,0,0.8,0.0666666666666667,0,0,0,0.2,0.5,1,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0
68,Normal Proliferation,Cyclic,0.00391,24,0.25,0.5,0,0,0,1,0.5,0,0,0.5,0,0,0,1,0,0.75,0.75,0.5,0.75,0,0,0,0,0.25,0.291666666666667,0,0.166666666666667,0,0.25,0.583333333333333,0.291666666666667,0.25,0.25,0.5,0.5,1,0,0,1,0.75,0,0,0,0,1,1,0,1,0,0.333333333333333,0.5,0.5,0.5,0,0.666666666666667,0.75,0.75,0.5,0,0.75,0.25,0,1,0.75,0.75,0.75,0.25,1,0,0,0,0,0.25,0,0.25,0,0.25,0,0,1,0.5,0,0.25,0,1,0.25,0.75,0.75,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0.75,1,0.5,0.5,0.5,0.5,1,0.25,0,0.25,0,1,0,0,0,0,1,0.75,1,0.25,0,0.25,1,0.75,0.75,0.75,0,0.5,0.75,0,0.5,0,0.5,0,0.5,0,0,0.75,0,0,0,0,0.75,0.75,1,0,0,0,0,0.5,1,0,0,0,0,0.75,0.5,0,1,1,1,1,1,0,0,1,0.875,1,0.125,0.375,0.833333333333333,0.208333333333333,1,0.25,0,0,0.75,0,0,0.208333333333333,0,0.125,0,0.0833333333333333,0.125,1,0,1,0,1,0,0,0,0,0,0,0,0
69,Normal Proliferation,Cyclic,0.00391,40,0.5,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,0.5,0.4,0.4,0.5,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.5,0,0,1,0,0,0,1,0,1,0.5,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,1,0.75,1,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
70,Metastasis + Abnormal Proliferation,Cyclic,0.00391,40,0.5,1,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0.25,0.6,0.4,1,0.4,0.4,0.5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,1,0.75,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.5,0,0,1,1,0.5,1,1,1,0,0,0.75,1,1,1,0.5,1,1,0.5,0,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
